full_name,description,url,stars,forks,language,svelte_version,is_svelte5,has_sveltekit,sveltekit_version
ankurrsinghal/svelte-legos,[NOT MAINTAINING ANYMORE] A framework for Svelte Utilities 💡 Current status: 87 utilities.,https://github.com/ankurrsinghal/svelte-legos,823,30,TypeScript,5.0.0,1,1,^2.7.7
swyxio/swyxkit,An opinionated blog starter for SvelteKit + Tailwind + Netlify. Refreshed for SvelteKit 1.0!,https://github.com/swyxio/swyxkit,708,92,Svelte,4.2.7,0,1,1.27.6
testing-library/svelte-testing-library,:chipmunk: Simple and complete Svelte DOM testing utilities that encourage good testing practices,https://github.com/testing-library/svelte-testing-library,655,32,JavaScript,5.28.2,1,0,
ocluf/justship,"A svelte 5 and sveltekit saas boilerplate. Including database, authentication, email, analytics",https://github.com/ocluf/justship,650,55,TypeScript,5.1.1,1,1,^2.7.2
paoloricciuti/sveltekit-search-params,The easiest way to read and WRITE from query parameters in sveltekit.,https://github.com/paoloricciuti/sveltekit-search-params,644,22,TypeScript,5.1.3,1,1,^2.7.3
importantimport/urara,"🌸 Sweet, Powerful, IndieWeb-Compatible SvelteKit Blog Starter. [Polaris]",https://github.com/importantimport/urara,640,69,Svelte,4.2.10,0,1,^2.5.0
svecosystem/paneforge,Resizable pane components for Svelte.,https://github.com/svecosystem/paneforge,619,9,TypeScript,5.34.3,1,0,
TheComputerM/svelte-materialify,A Material UI Design Component library for Svelte heavily inspired by vuetify.,https://github.com/TheComputerM/svelte-materialify,617,83,Svelte,3.32.1,0,0,
CaptainCodeman/svelte-headlessui,HeadlessUI components for Svelte,https://github.com/CaptainCodeman/svelte-headlessui,597,29,TypeScript,5.0.0,1,1,^2.7.2
jonasgeiler/svelte-tiny-virtual-list,"📚  A tiny but mighty list virtualization library for Svelte, with zero dependencies 💪 Supports variable heights/widths, sticky items, scrolling to index, and more!",https://github.com/jonasgeiler/svelte-tiny-virtual-list,595,28,Svelte,5.34.9,1,1,2.25.2
keenethics/svelte-notifications,Simple and flexible notifications system,https://github.com/keenethics/svelte-notifications,581,30,JavaScript,3.52.0,0,0,
svecosystem/mode-watcher,Simple light/dark mode management for Svelte apps. 🌑 ←→ ☀️,https://github.com/svecosystem/mode-watcher,560,24,TypeScript,5.25.6,1,0,
sveltejs/learn.svelte.dev,A soup-to-nuts interactive tutorial on how to build apps with Svelte,https://github.com/sveltejs/learn.svelte.dev,543,239,Svelte,4.2.0,0,1,^2.0.0
c0bra/svelma,Bulma components for Svelte,https://github.com/c0bra/svelma,541,43,HTML,3.44.3,0,0,
jorgegorka/svelte-router,"Svelte Router adds routing to your Svelte apps. It's designed for Single Page Applications (SPA). Includes localisation, guards and nested layouts.",https://github.com/jorgegorka/svelte-router,537,41,JavaScript,3.59.2,0,0,
michael/svedit,A tiny library for building editable websites in Svelte,https://github.com/michael/svedit,520,11,JavaScript,5.43.4,1,1,^2.48.4
sveltejs/rollup-plugin-svelte,Compile Svelte components with Rollup,https://github.com/sveltejs/rollup-plugin-svelte,513,82,JavaScript,4.0.0,0,0,
josh-collinsworth/sveltekit-blog-starter,"A preconfigured SvelteKit static blog starter, with Sass, Markdown, MDSvex, Rehype, background preloading, and more. See the README for full details.",https://github.com/josh-collinsworth/sveltekit-blog-starter,501,100,Svelte,5.0.0,1,1,^2.5.27
matiadev/joy-of-code,🌸 Joy of Code is a digital garden growing curious minds,https://github.com/matiadev/joy-of-code,500,126,Svelte,5.36.16,1,1,^2.26.0
wiscaksono/site,Minimal portfolio site,https://github.com/wiscaksono/site,487,49,Svelte,5.46.1,1,1,^2.49.2
thisuxhq/sveltednd,"A lightweight, flexible drag and drop library for Svelte 5 applications.",https://github.com/thisuxhq/sveltednd,485,20,Svelte,5.16.1,1,1,^2.15.1
pstanoev/simple-svelte-autocomplete,Simple Autocomplete / typeahead component for Svelte,https://github.com/pstanoev/simple-svelte-autocomplete,478,78,Svelte,3.24.0,0,0,
kwchang0831/svelte-QWER,✒︎ Simply Awesome Blog Starter built with SvelteKit and Love ❤,https://github.com/kwchang0831/svelte-QWER,474,54,Svelte,4.2.18,0,1,2.5.18
N00nDay/stwui,Opinionated yet customizable Svelte-TailwindCSS component library,https://github.com/N00nDay/stwui,459,23,Svelte,4.2.8,0,1,^2.3.2
svelte-society/sveltesociety.dev,The Svelte Society website,https://github.com/svelte-society/sveltesociety.dev,446,233,TypeScript,5.46.1,1,1,^2.49.2
carbon-design-system/carbon-icons-svelte,Carbon Design System SVG icons as Svelte components,https://github.com/carbon-design-system/carbon-icons-svelte,444,25,TypeScript,5.43.14,1,0,
sockmaster27/svader,Create GPU-rendered Svelte components,https://github.com/sockmaster27/svader,440,8,Svelte,5.46.1,1,1,^2.49.3
flekschas/svelte-simple-modal,"A simple, small, and content-agnostic modal for Svelte v3, v4, and v5",https://github.com/flekschas/svelte-simple-modal,427,32,Svelte,4.0.0,0,0,
swyxio/swyxdotio,"This is the repo for swyx's blog - Blog content is created in github issues, then posted on swyx.io as blog pages! Comment/watch to follow along my blog within GitHub",https://github.com/swyxio/swyxdotio,399,49,Svelte,4.2.0,0,1,1.22.5
macleod-ee/svelte-capacitor,Build hybrid mobile apps using Svelte and CapacitorJS with live reloading on Android and iOS! [!] Moved to Codeberg,https://github.com/macleod-ee/svelte-capacitor,386,31,HTML,3.37.0,0,0,
friendofsvelte/tipex,A goto styled text editor for SvelteKit; based on TipTap; tipex,https://github.com/friendofsvelte/tipex,381,9,Svelte,5.0.0,1,1,^2.0.0
alysonhower/tauri2-svelte5-shadcn,"A clean desktop application template that combines Tauri 2 with Svelte 5 + Shadcn-svelte, including automated CI/CD pipelines for Windows, Linux, and Mac builds.",https://github.com/alysonhower/tauri2-svelte5-shadcn,336,20,Svelte,5.28.1,1,0,
svelteplot/svelteplot,Svelte-native plotting framework based on the grammar of graphics,https://github.com/svelteplot/svelteplot,334,25,TypeScript,5,1,1,^2.49.2
matfantinel/fantinel.dev,Personal website and blog made with SvelteKit,https://github.com/matfantinel/fantinel.dev,328,65,Svelte,5.23.1,1,0,
jonasgeiler/svelte-infinite-loading,"An infinite scroll component for Svelte, to help you implement an infinite scroll list more easily.",https://github.com/jonasgeiler/svelte-infinite-loading,323,11,Svelte,3.31.0,0,0,
beyonk-group/svelte-notifications,Svelte toast notifications component that can be used in any JS application,https://github.com/beyonk-group/svelte-notifications,318,26,Svelte,3.47.0,0,1,^1.0.0-next.322
PuruVJ/neoconfetti,Confetti in Svelte,https://github.com/PuruVJ/neoconfetti,311,11,TypeScript,4.2.8,0,0,
engageintellect/spatz-2,"just like spatz... but for svelte5, with shadcn-svelte, svelte-animations, svelte-superforms, stripe payments, subscriptions, content-filtering, and more.",https://github.com/engageintellect/spatz-2,308,32,Svelte,5.0.0,1,1,^2.5.27
rodneylab/sveltekit-blog-mdx,SvelteKit MDX starter blog with MDsveX (Svelte in markdown),https://github.com/rodneylab/sveltekit-blog-mdx,300,40,Svelte,5.25.3,1,1,2.20.2
mateothegreat/svelte5-router,"🫦 An SPA router for Svelte that allows you to divide & conquer your app with nested routers, snippets, and more.",https://github.com/mateothegreat/svelte5-router,296,19,TypeScript,5.38.6,1,0,
jacobdeichert/svelvet,🧵 An experimental svelte compiler & watcher that works with snowpack,https://github.com/jacobdeichert/svelvet,293,7,TypeScript,3.20.1,0,0,
poppa/sveltekit-svg,"SvelteKit plugin that makes it possible to import SVG files as Svelte components, inline SVG code or urls",https://github.com/poppa/sveltekit-svg,279,25,TypeScript,5.20.1,1,0,
stephane-vanraes/renderless-svelte,A collection of renderless Svelte components,https://github.com/stephane-vanraes/renderless-svelte,278,11,Svelte,3.29.4,0,0,
hanielu/dnd-kit-svelte,"The modern, lightweight, performant, accessible and extensible drag & drop toolkit for Svelte",https://github.com/hanielu/dnd-kit-svelte,274,7,TypeScript,5.0.0,1,1,^2.0.0
mattjennings/sveltekit-blog-template,A SvelteKit blog template,https://github.com/mattjennings/sveltekit-blog-template,248,34,JavaScript,3.54.0,0,1,^1.22.3
bmdavis419/SvelteKit-Ecommerce,"An opensource, fullstack e-commerce app build with SvelteKit",https://github.com/bmdavis419/SvelteKit-Ecommerce,245,38,Svelte,4.2.9,0,1,^2.5.0
kampsy/ui,"A Svelte 5 UI component library, inspired by Vercel's Geist, thoughtfully designed to deliver consistent and cohesive web experiences.",https://github.com/kampsy/ui,244,6,Svelte,5.43.3,1,1,^2.48.4
RiadhAdrani/slick-portfolio-svelte,Vercel-like style portfolio template for developers.,https://github.com/RiadhAdrani/slick-portfolio-svelte,237,122,Svelte,4.2.1,0,1,1.25.0
noahlh/celestite,"Beautifully reactive, server-side rendered Svelte apps w/ a Crystal backend",https://github.com/noahlh/celestite,235,9,JavaScript,5.0.0,1,0,
svar-widgets/core,SVAR Core library is a collection of essential UI components written with Svelte. ,https://github.com/svar-widgets/core,230,7,Svelte,5.1.9,1,0,
Rich-Harris/sveltekit-on-the-edge,"SvelteKit, running on the edge",https://github.com/Rich-Harris/sveltekit-on-the-edge,226,26,Svelte,3.55.1,0,1,^1.8.3
tretapey/svelte-pwa,Svelte Progresssive Web App (PWA) starter template,https://github.com/tretapey/svelte-pwa,224,27,JavaScript,3.49.0,0,0,
Konixy/better-svelte-email,📧 Render emails in Svelte effortlessly with first-class tailwind support,https://github.com/Konixy/better-svelte-email,220,5,TypeScript,5.46.1,1,1,^2.49.2
navneetsharmaui/sveltekit-blog,"Sveltekit blog starter project created with sveltekit, typescript, tailwindcss, postcss, husky, and storybook. The project has the structure set up for the scaleable web application.",https://github.com/navneetsharmaui/sveltekit-blog,211,28,Svelte,3.42.3,0,1,^1.0.0-next.165
engageintellect/spatz,"An opinionated template for building full-stack Svelte applications ridiculously fast. Includes auth, database, admin panel, user dashboard, themes, icons, and more.",https://github.com/engageintellect/spatz,208,22,Svelte,4.2.12,0,1,^2.0.0
svar-widgets/gantt,"Svelte Gantt chart component – lightweight, customizable, interactive, and fast.",https://github.com/svar-widgets/gantt,206,34,TypeScript,5.1.9,1,0,
SveltyCMS/SveltyCMS,"SveltyCMS is a headless CMS. Built with modern and lightweight SvelteKit,  This CMS is designed for speed, flexibility, and scalability. Perfect for developers looking for a fast & fully customizable CMS with minimal setup. TailwindCSS, theme and widgets allow easy expansion. ",https://github.com/SveltyCMS/SveltyCMS,201,163,TypeScript,5.45.3,1,1,^2.49.1
matfantinel/sveltekit-static-blog-template,"A lightweight and customizable template for blogs and portfolio websites, built with SvelteKit.",https://github.com/matfantinel/sveltekit-static-blog-template,199,37,Svelte,3.54.0,0,1,^1.0.0
svar-widgets/grid,"Svelte datagrid component. Lightweight, fast, feature-rich.",https://github.com/svar-widgets/grid,191,8,Svelte,5.1.9,1,0,
ONSvisual/svelte-scrolly,A rich media / scrollytelling template made with Svelte.,https://github.com/ONSvisual/svelte-scrolly,190,23,Svelte,3.0.0,0,0,
tanhauhau/svelte-json-tree,JSON tree component for Svelte,https://github.com/tanhauhau/svelte-json-tree,187,43,Svelte,4.0.0,0,1,^1.20.4
paoloricciuti/sveltekit-view-transition,Start using view transitions without any hassle!,https://github.com/paoloricciuti/sveltekit-view-transition,186,3,TypeScript,4.0.5,0,1,^1.20.4
mvasigh/sveltekit-mdsvex-blog,A minimalistic blog template built with SvelteKit and MDsveX,https://github.com/mvasigh/sveltekit-mdsvex-blog,175,27,Svelte,3.54.0,0,1,^1.0.0
svelteland/svelte-kit-blog-demo,"A demo of a markdown based blog with SvelteKit, deployed to Github Pages.",https://github.com/svelteland/svelte-kit-blog-demo,170,56,Svelte,3.29.0,0,1,next
Rich-Harris/sveltesnaps,,https://github.com/Rich-Harris/sveltesnaps,164,13,Svelte,3.58.0,0,1,^1.16.2
xulioc/sveltekit-supabase-dashboard,Dashboard inspired by Supabase UI  and made with SvelteKit as frontend and Supabase as backend.,https://github.com/xulioc/sveltekit-supabase-dashboard,147,29,Svelte,3.58.0,0,1,^1.15.9
khromov/svelte-bench,"An LLM benchmark for Svelte 5 based on the OpenAI methodology from OpenAIs paper ""Evaluating Large Language Models Trained on Code"".",https://github.com/khromov/svelte-bench,145,7,TypeScript,5.46.0,1,0,
x0k/svelte-jsonschema-form,Svelte 5 library for creating forms based on JSON schema.,https://github.com/x0k/svelte-jsonschema-form,142,6,TypeScript,,0,1,^2.49.2
jesperorb/intl-explorer,Intl Explorer is an interactive tool for experimenting and trying out the ECMAScript Internationalization API.,https://github.com/jesperorb/intl-explorer,135,3,Svelte,5.25.3,1,1,2.48.5
Rich-Harris/svelte-split-pane,A <SplitPane> component,https://github.com/Rich-Harris/svelte-split-pane,131,13,Svelte,5.43.6,1,1,^2.5.27
aker-dev/microfolio,A modern static portfolio generator based on SvelteKit 2 and Tailwind CSS 4,https://github.com/aker-dev/microfolio,127,3,Svelte,5.45.6,1,1,^2.49.1
xafn/afn.im,🎨 Personal website made with SvelteKit,https://github.com/xafn/afn.im,124,25,Svelte,4.2.9,0,1,^2.5.0
Rich-Harris/sveltekit-movies-demo,Movies demo,https://github.com/Rich-Harris/sveltekit-movies-demo,121,7,Svelte,5.0.0-next.79,1,1,^2.5.4
accretional/statue,"Statue: Svelte + Markdown Static Site Generator, launch a website for your business, blog, portfolio, or product in seconds, with one-line setup",https://github.com/accretional/statue,121,18,Svelte,5.46.0,1,1,^2.49.2
kizivat/saas-kit,"Free SaaS template built with SvelteKit, Supabase, and shadcn-svelte.",https://github.com/kizivat/saas-kit,120,23,Svelte,4.0.5,0,1,^2.5.20
Rich-Harris/snowpack-svelte-ssr,,https://github.com/Rich-Harris/snowpack-svelte-ssr,117,4,JavaScript,3.24.0,0,0,
engageintellect/sveltekit-supabase,"A minimal starter template using Svelte 5, Supabase, shadcn-svelte, GitHub auth, iconify, and Zod.",https://github.com/engageintellect/sveltekit-supabase,117,23,TypeScript,5.0.0-next.1,1,1,^2.0.0
akiarostami/sveltekit-tailwind-blog-starter,An easily configurable and customizable blog starter for SvelteKit + Tailwind CSS,https://github.com/akiarostami/sveltekit-tailwind-blog-starter,117,17,Svelte,4.2.12,0,1,2.5.4
Rich-Harris/svelte-workshop,The website for the Svelte workshop,https://github.com/Rich-Harris/svelte-workshop,116,36,JavaScript,3.0.0,0,0,
deid84/tauri-sveltekit-admin-template,"This repository contains a starter template for building Tauri apps using SvelteKit and the Tailwind CSS framework. The template includes a development server, build scripts, and other helpful tools to get started.",https://github.com/deid84/tauri-sveltekit-admin-template,116,4,Svelte,4.0.5,0,1,^1.22.3
sveltejs/svelte-eslint-parser,Svelte parser for ESLint,https://github.com/sveltejs/svelte-eslint-parser,111,26,TypeScript,5.45.4,1,0,
Rich-Harris/ematchi,,https://github.com/Rich-Harris/ematchi,108,13,Svelte,3.54.0,0,1,^1.5.0
Naptie/nearcade,,https://github.com/Naptie/nearcade,107,5,Svelte,5.43.6,1,1,^2.48.5
ndom91/svelte-infinite,Svelte 5 Infinite Loader using Runes,https://github.com/ndom91/svelte-infinite,106,8,Svelte,5.42.2,1,1,^2.48.0
knrdl/hubleys-dashboard,Hubleys Brave New Dashboard,https://github.com/knrdl/hubleys-dashboard,105,9,TypeScript,4.2.20,0,1,^2.48.4
andreock/nodeMyAdmin,A replace phpMyAdmin to Node.js with the help of Sveltekit,https://github.com/andreock/nodeMyAdmin,102,12,TypeScript,3.55.1,0,1,next
TommyLec/SelfKit,"A self hosted oriented boilerplate for developers who want full control: cut your costs, secure your data, and focus on what matters.",https://github.com/TommyLec/SelfKit,96,4,TypeScript,5.19.0,1,1,^2.16.0
SwiftMarket/swiftmarket-sveltekit,"E-Commerce solution built with SvelteKit, Pocketbase as a database and Stripe for payments, providing better performance and faster development time.",https://github.com/SwiftMarket/swiftmarket-sveltekit,86,12,Svelte,3.55.1,0,1,^1.9.3
ClaytonFarr/sveltekit-netlify-stripe-fauna-example,SaaS boilerplate example with SvelteKit + Tailwind + Netlify Identity (GoTrue) + Stripe + Fauna.,https://github.com/ClaytonFarr/sveltekit-netlify-stripe-fauna-example,85,11,Svelte,3.38.2,0,1,next
huntabyte/modern-saas,"Source code for Modern SaaS Apps with SvelteKit, Stripe, & Supabase",https://github.com/huntabyte/modern-saas,84,26,TypeScript,3.54.0,0,1,^1.5.0
Zxce3/shadcn-sveltekit-landing-page,New Design 🪄 Sveltekit + Shadcn + TypeScript + Tailwind. Landing page template ease-to-use,https://github.com/Zxce3/shadcn-sveltekit-landing-page,84,18,Svelte,5.0.0,1,1,^2.16.0
connorrothschild/v4,"My 2023 personal portfolio & blog, built with SvelteKit",https://github.com/connorrothschild/v4,80,11,JavaScript,3.34.0,0,1,1.0.0-next.434
joachimchauvet/modernstack-saas,"A modern SaaS template/boilerplate built with SvelteKit, Convex, Better Auth, and shadcn-svelte. Includes subscriptions, auth, user & admin dashboard, user settings, and more.",https://github.com/joachimchauvet/modernstack-saas,78,11,Svelte,5.0.0,1,1,^2.43.5
ansxuman/macOS-Themed-Portfolio,"An interactive portfolio website inspired by the macOS interface, built with SvelteKit, TailwindCSS, and TypeScript.  https://macosportfolio.netlify.app/",https://github.com/ansxuman/macOS-Themed-Portfolio,76,13,Svelte,4.2.7,0,1,^2.0.0
paoloricciuti/optimistikit,Optimistic UI in sveltekit made easy,https://github.com/paoloricciuti/optimistikit,72,0,TypeScript,5.36.3,1,1,^2.5.18
BrendanGlancy/dev-port,"My portfolio website, still in progress.",https://github.com/BrendanGlancy/dev-port,72,19,Svelte,5.13.0,1,1,^2.9.0
borakilicoglu/svelte-tradingview-widget,Svelte component for rendering the TradingView Advanced Real-Time Chart Widget,https://github.com/borakilicoglu/svelte-tradingview-widget,71,8,HTML,3.22.2,0,0,
sailkit/sailkit,SailKit is an open-source toolkit for composing responsive email templates in SvelteKit applications,https://github.com/sailkit/sailkit,70,2,Svelte,,0,1,^2.48.4
Rich-Harris/local-storage-test,,https://github.com/Rich-Harris/local-storage-test,69,6,TypeScript,5.0.0,1,1,^2.0.0
Ladvace/SvelteKit-Portfolio,Simple portfolio website made in svelteKit,https://github.com/Ladvace/SvelteKit-Portfolio,65,23,Svelte,4.2.18,0,1,^2.5.18
joshnuss/sveltekit-saas,,https://github.com/joshnuss/sveltekit-saas,61,5,JavaScript,3.54.0,0,1,^1.0.0
upperdo/backoffice-template,"Clean Architecture Sveltekit Appwrite template include admin area, auth, protected routes, it use ShadCN-Svelte as base component library, include authorization, designed to be easy to maintain and very scalable.",https://github.com/upperdo/backoffice-template,61,3,TypeScript,4.2.8,0,1,^1.30.3
buhrmi/sveltekit-netlify-cms,A preconfigured SvelteKit skeleton app with Netlify CMS,https://github.com/buhrmi/sveltekit-netlify-cms,59,21,HTML,3.34.0,0,1,next
WarningImHack3r/svelte-changelog,A nice UI to stay up-to-date with Svelte releases,https://github.com/WarningImHack3r/svelte-changelog,57,3,Svelte,5.46.1,1,1,^2.49.2
zcsd/sveltekit-cloudflare-template,"A fully functional SvelteKit template that integrates Cloudflare services (Pages, D1, KV, Workers, Queues, R2, Turnstile). Good to be a starting point for a SaaS application or a membership site.",https://github.com/zcsd/sveltekit-cloudflare-template,56,14,JavaScript,4.2.18,0,1,^2.5.18
YusufCeng1z/svelte-bash,"A fully typed, lightweight, and customizable terminal emulator component for Svelte 5. Features a virtual file system, custom commands, themes, and autoplay mode for demos. 🚀",https://github.com/YusufCeng1z/svelte-bash,53,1,Svelte,5.43.8,1,1,^2.48.5
snuffyDev/svelte-worker-store,:zap: Turbocharge your apps with multithreaded Svelte stores.,https://github.com/snuffyDev/svelte-worker-store,53,0,Svelte,3.54.0,0,1,^1.5.0
baseballyama/svelte-preprocess-delegate-events,You can delegate events by on:* 🎉,https://github.com/baseballyama/svelte-preprocess-delegate-events,53,0,JavaScript,4.2.20,0,0,
unlocomqx/sveltekit-shopify-starter,A Shopify starter app using SvelteKit,https://github.com/unlocomqx/sveltekit-shopify-starter,51,4,TypeScript,3.44.0,0,1,next
Meldiron/appwrite-cms,"Prepare admin panels for your projects rapidly using Appwrite CMS, a headless CMS for any Appwrite project.",https://github.com/Meldiron/appwrite-cms,49,20,Svelte,3.53.1,0,1,next
RiadhAdrani/slick-portfolio-svelte-5,The rewrite of the slick-portfolio-svelte using sveltekit (svelte 5) and shadcn-svelte,https://github.com/RiadhAdrani/slick-portfolio-svelte-5,47,27,Svelte,5.0.0,1,1,^2.46.2
rixo/rollup-plugin-svelte-hot,Fork of official rollup-plugin-svelte with added HMR support (for both Nollup or Rollup),https://github.com/rixo/rollup-plugin-svelte-hot,46,6,JavaScript,3.30.0,0,0,
halfnelson/svelte-native-realworld,WIP svelte native realworld implementation,https://github.com/halfnelson/svelte-native-realworld,46,11,TypeScript,3.12.1,0,0,
ak4zh/sveltekit-saas-starter,,https://github.com/ak4zh/sveltekit-saas-starter,44,3,Svelte,3.44.0,0,1,next
softjapan/mini-webui,"mini-webui delivers a streamlined AI chat console for teams that need rapid iteration, reliable integrations, and production-ready guardrails. The application pairs a FastAPI backend with a SvelteKit front end, offering real-time conversations, LangGraph-powered retrieval, secure account management, and an operator-friendly admin console.",https://github.com/softjapan/mini-webui,44,3,Python,4.2.18,0,1,^2.5.20
subhendupsingh/sveltekit-notion-blog,A plug and play library for setting up blogs in subdirectory or main directory in Sveltekit projects using Notion as CMS.,https://github.com/subhendupsingh/sveltekit-notion-blog,43,6,TypeScript,5.0.0,1,1,^2.5.27
hygraph/hygraph-sveltekit-portfolio-and-blog-starter,Get started with your own portfolio and blog with SvelteKit and Hygraph,https://github.com/hygraph/hygraph-sveltekit-portfolio-and-blog-starter,43,11,Svelte,3.46.4,0,1,1.0.0-next.572
gtm-nayan/svelte-pdfjs,,https://github.com/gtm-nayan/svelte-pdfjs,42,8,Svelte,4.2.16,0,1,^1.30.4
loke-dev/sveltekit-mdsvex-blog-template,MDsveX blog starter template built with Sveltekit & Tailwind,https://github.com/loke-dev/sveltekit-mdsvex-blog-template,42,6,Svelte,5.25.0,1,1,^2.20.2
opensas/sveltekit-landing-page,Tailwind Landing page template converted to SvelteKit components,https://github.com/opensas/sveltekit-landing-page,41,14,HTML,3.29.0,0,1,next
CaptainCodeman/svelte-api-keys,"API Key Generation, Validation, and Rate Limiting for SvelteKit",https://github.com/CaptainCodeman/svelte-api-keys,40,2,TypeScript,5.0.0-next.85,1,1,^2.5.7
Rich-Harris/snek,,https://github.com/Rich-Harris/snek,38,3,Svelte,5.28.6,1,1,^2.21.0
tanhauhau/tanhauhau.github.io,Tan Li Hau's Personal Website,https://github.com/tanhauhau/tanhauhau.github.io,38,8,MDX,5.0.0,1,1,^2.16.0
xulioc/sveltekit-multitenant-rbac,Svelte MultiTenant RBAC Dashboard,https://github.com/xulioc/sveltekit-multitenant-rbac,38,3,Svelte,5.0.2,1,1,^2.7.2
spences10/sveltekit-vendure-commerce,SvelteKit and Vendure Commerce example  🤝,https://github.com/spences10/sveltekit-vendure-commerce,37,6,Svelte,4.2.9,0,1,2.5.15
